Adress,City,State,Machine/%,Date,Total weight,Half weight,50$,20,10,5,1
1169 Bay Street,Staten island,NY,45%,12/18/2025,22.8,13,Eli,,,1,5
x2 change machines,,,,1/21/2026,31.5,17.235.,mardi,,,,
(646) 644-5090 Text amount ,,,,11/24/2025,30.6,17,pj,2,1,2,12
Give cash,,,,2/16/2026,17.2,9.46,Eli,,,,
,,,,12/30/2025,21,11.55,Eli,,,,
,,,,8/17/2025,8.8,4.84,oded ,,,,3
631 bay st ,Staten Island ,NY,50%,12/18/2025,No money ,,Eli,,,,
no bills only $5 single they break the machine ,,,,2/16/2026,5.6,2.8,Eli,,,,
changed motor 1/21/26 ,,,,1/21/2026,no money ,,mardi,,,,
Big screw of motor was answered .2/16/26,,,,,,,,,,,
23 Broad St  ,Staten Island ,NY,40%,2/16/2026,no money,, Eli,,,,10
machine was off 1/21/26 ( and 2/16/26),,,,1/21/2026,no money ,,mardi,,,,
"Alarm system is dead, can't fix it 12/18/25",,,,11/24/2025,no money,5.04,mardi,,,,
,,,,12/18/2025,12.3,7.38,Eli,1,,1,5
250 Broad Street ,Staten island,NY,50%,1/21/2026,27.7,13.85.,mardi,,,,5
,,,,2/16/2026,24.2,12.1,Eli,,,1,2
,,,,11/24/2025,17.9,8.95,pj,1,,3,9
,,,,12/18/2025,30.3,15.5,Eli,2,1,2,8
195 Victory Blvd,Staten Island ,NY,40%,2/16/2026,5.2,3.12,Eli,,,,
,,,,12/18/2025,10.3,6.2,Eli,,,,3
,,,,1/21/2026,7.3,4.38,mardi,,,,
,,,,11/24/2025,5.2,3.12,pj,,,,3
513 Jersey Street ,Staten island,NY,50% / 35%,1/21/2026,13.1,6.55,mardi,,,,3
,,,,2/16/2026,6.1,3.05,Eli,,,,
,,,,12/18/2025,12.2,6.1,Eli,1,,1,
418 Jersey St ,Staten Island,NY,40%,12/18/2025,no money ,,Eli,,,,5
only 5 singles and few watches ,,,,2/16/2026,No money ,,Eli,,,,
request machine be removed 1/21/26,,,,1/21/2026,no money ,,mardi,,,,
443 castleton Ave,Staten Island ,NY,50%,12/19/2025,6.1,3,Eli,,,1,
,,,,2/16/2026,5.7,2.85,Eli,,,,
,,,,1/21/2026,5.3,2.65,mardi,,,,
418 Broadway  ,Staten island,NY,50% / 40%,12/19/2025,No money ,,Eli,,,,
,,,,1/21/2026,7.5,3.75,mardi,,,,
,,,,2/16/2026,4,2,Eli,,,,
41 Grove Avenue ,Staten Island ,NY,40%,2/16/2026,9.2,5.52,Eli,1,,,2
,,,,1/21/2026,6.9,4.14,mardi,,,,
,,,,12/21/2025,7.1,4.26,Eli,,,,3
196 Port Richmond Ave,Staten Island,NY,40%,1/21/2026,8,4.8,mardi,,,,
bubble gum machine,,,,12/21/2025,10.4,6.24,Eli,2,,2,12
,,,,2/16/2026,Closed ,,Eli,,,,
209 Main St (deli),Staten Island,NY,40%,2/16/2026,28.6,17.16,Eli,1,1,,4
,,,,12/21/2025,44.6,26.76,Eli,2,1,3,7
,,,,1/21/2026,49,29.4,mardi,,,,
7344 Amboy Rd (Deli),Staten Island,NY,40%,12/21/2025,No money ,,Eli,,,,
maight wanna move machine to different store ,,,,1/21/2026,no money ,,                   mardi,,,,
in Brooklyn 1/21/26,,,,2/16/2026,no money ,,Eli,,,,
319 New Dorp Lane,Staten island,NY,45%,12/21/2025,$14,7,Eli,,1,3,
(646) 644-5090 Text amount ,,,,10/26/2025,$17,9,pj,,,,5
has change machine ,,,,11/24/2025,$16,9,pj,,,,
with picture,,,,9/25/2025,17.2.,9.46.,mardi,,,,
,,,,1/21/2026,18,9.9.,mardi ,,,,
,,,,2/16/2026,9.9,,,,,,
,,,,,,,,,,,
"360 New Dorp Ln, 
",Staten island ,NY,,1/11/2026,installed ,,,,,,
Need to change the tray next visit,,,,2/16/2026,26.4,15.84,Eli,,,,
,,,,,,,,,,,
2435 Hylan Blvd,Staten island,NY,45%,1/21/2026,18.3,10.07,mardi,,,,
 has change machine ,,,,12/21/2025,16.1,8.82,Eli,1,1,1,5
(646) 644-5090 text amount,,,,10/26/2025,13.9,7.6,pj,2,,2,6
with picture ,,,,2/16/2026,10.3,6.66,Eli,,, ,
,,,,11/24/2025,23.9,13,pj,1,,3,5
2333 Hylan Blvd,Staten island,NY,50% / 30%,7/15/2025,32.2,16.1,Hershey,1,,,3
has change machine ,,,,1/21/2026,25.5,12.75,mardi,2,,,9
,,,,10/26/2025,21.15,10.5,pj,Eli,,1,3
,,,,2/16/2026,27.5,13.75,Eli,,,1,8
,,,,9/25/2025,22.2,11,mardi,,1,,1
,,,,11/24/2025,27.9,13.95,pj,,,,4
,,,,12/21/2025,23,11.5,Eli,1,1,1,4
1501 Hylan Blvd ,Staten island,NY,45%,11/24/2025,$10,6,mardi,,,,
has change machine ,no $20's ,,,1/21/2026,7.3.,4.015.,mardi,1,,,
(646) 644-5090 text amount,,,,12/21/2025,12$,6,Eli,,,,
with picture ,,,,2/16/2026,Machine was off ,No money ,Eli,,,,
1452 hylan Blvd,Staten island,NY,40%,9/25/2025,8.4,5.04,oded ,,,1,4
has change machine ,,,,11/10/2025,8,4.8,mardi,,1,1,9
(646) 644-5090 text amount,,,,9/8/2025,26.6,15.96,Eli,1,,,5
,,,,1/21/2026,13,7.8,mardi,,,3,6
,,,,12/21/2025,14.6,8.76,Eli,,,,
,,,,2/16/2026,19.4,,,,,,
